Date,Close
2021-05-08,58803.77580865
2021-05-09,58232.3161419
2021-05-10,55859.79754454
2021-05-11,56704.5730585
2021-05-12,49150.53387514
2021-05-13,49716.19160254
2021-05-14,49880.53342038
2021-05-15,46760.18656071
2021-05-16,46456.05847448
2021-05-17,43537.51138918
2021-05-18,42909.40092517
2021-05-19,37002.4404659
2021-05-20,40782.73826245
2021-05-21,37304.69067136
2021-05-22,37536.63111241
2021-05-23,34770.58362292
2021-05-24,38705.97863723
2021-05-25,38402.22385137
2021-05-26,39294.19738214
2021-05-27,38436.96853505
2021-05-28,35697.60639024
2021-05-29,34616.06800347
2021-05-30,35678.12920411
2021-05-31,37332.85368874
2021-06-01,36684.92451667
2021-06-02,37575.17957566
2021-06-03,39208.76599489
2021-06-04,36894.40532994
2021-06-05,35551.95872588
2021-06-06,35862.37772747
2021-06-07,33560.70783776
2021-06-08,33472.63174808
2021-06-09,37345.12148619
2021-06-10,36702.59937466
2021-06-11,37334.39952553
2021-06-12,35552.51714847
2021-06-13,39097.86089667
2021-06-14,40218.47785943
2021-06-15,40406.26898673
2021-06-16,38347.06322666
2021-06-17,38053.50417253
2021-06-18,35787.24478177
2021-06-19,35615.86927002
2021-06-20,35698.29644336
2021-06-21,31676.69373254
2021-06-22,32505.6598245
2021-06-23,33723.0289781
2021-06-24,34662.43589358
2021-06-25,31637.78005541
2021-06-26,32186.27767093
2021-06-27,34649.64458753
2021-06-28,34434.33531428
2021-06-29,35867.77773549
2021-06-30,35040.83724889
2021-07-01,33572.11765253
2021-07-02,33897.04858963
2021-07-03,34668.54840182
2021-07-04,35287.77976616
2021-07-05,33746.00245614
2021-07-06,34235.19345116
